clusterhead_1,clusterhead_2,distance
25,51,374.597210
25,52,317.913823
25,53,253.652111
25,54,216.380279
25,57,256.628566
25,58,344.136934
25,60,451.387276
25,61,403.111027
25,62,357.520071
25,63,336.010797
25,64,310.032134
25,65,291.367785
25,66,326.360318
25,67,349.675873
25,71,462.070387
25,72,448.222944
25,73,374.791235
25,74,390.424794
25,76,372.759072
25,77,406.635284
25,78,462.023823
25,80,578.365831
25,81,498.758483
25,82,463.298564
25,83,458.336157
25,85,441.070579
25,86,466.404963
25,87,493.201361
25,88,529.767116
25,89,553.988771
25,92,542.648623
27,28,75.743917
27,31,461.370914
27,32,372.841668
27,33,329.440786
27,34,240.040618
27,36,117.495446
27,37,91.920320
27,38,119.405594
27,39,177.696275
27,40,527.233875
27,42,387.983488
27,44,272.490740
27,45,210.721490
27,46,184.532548
27,47,172.192815
27,50,582.456798
27,51,496.845459
27,52,431.878651
27,53,357.143868
27,54,294.828162
27,57,224.761389
27,58,284.018425
27,60,572.620740
27,61,519.413570
27,62,458.869727
27,63,428.804729
27,64,372.227047
27,65,339.613460
27,66,344.955692
27,67,335.008253
27,71,568.845654
27,72,538.866411
27,73,451.336659
27,74,445.774613
27,76,377.572173
27,77,397.985552
27,78,417.851687
27,80,679.807921
27,81,593.615158
27,82,548.628747
27,83,528.125314
27,85,477.023405
27,86,473.398338
27,87,487.638130
27,88,501.255089
27,89,507.332965
27,92,616.601596
28,31,535.097658
28,32,446.048467
28,33,401.074877
28,34,311.480472
28,36,177.788348
28,37,108.172115
28,38,74.457950
28,39,123.239984
28,40,598.774057
28,42,453.827736
28,44,332.433929
28,45,263.024445
28,46,210.221651
28,47,182.659095
28,50,649.775915
28,51,561.201631
28,52,492.442285
28,53,414.151157
28,54,343.333073
28,57,224.127739
28,58,257.678884
28,60,635.842492
28,61,580.201164
28,62,512.587744
28,63,478.892646
28,64,409.332753
28,65,371.555934
28,66,361.359494
28,67,333.447019
28,71,623.874626
28,72,585.673994
28,73,492.771411
28,74,476.608316
28,76,384.484551
28,77,396.172314
28,78,393.892549
28,80,730.786751
28,81,641.874568
28,82,592.477179
28,83,564.214900
28,85,496.630689
28,86,477.270715
28,87,483.908663
28,88,483.756803
28,89,478.855543
28,92,653.270746
31,32,89.713774
31,33,139.588234
31,34,226.060472
31,36,368.469746
31,37,464.091902
31,38,544.115183
31,39,593.280339
31,40,84.736468
31,42,151.280626
31,44,255.258211
31,45,326.111936
31,46,423.573179
31,47,464.060803
31,50,179.267426
31,51,168.156701
31,52,199.512802
31,53,239.128506
31,54,309.051069
31,57,498.534045
31,58,595.264727
31,60,219.089943
31,61,217.780690
31,62,267.387774
31,63,291.481122
31,64,369.956506
31,65,393.643199
31,66,468.244865
31,67,538.048233
31,71,299.570548
31,72,354.884603
31,73,360.288439
31,74,426.545315
31,76,521.724504
31,77,568.870234
31,78,669.932327
31,80,407.130193
31,81,372.717289
31,82,382.938567
31,83,428.760256
31,85,504.786386
31,86,584.225610
31,87,629.070344
31,88,700.642831
31,89,752.409089
31,92,475.126538
32,33,52.047505
32,34,136.346753
32,36,278.804438
32,37,374.533042
32,38,454.437535
32,39,503.921345
32,40,157.757037
32,42,106.820159
32,44,175.101064
32,45,240.955636
32,46,337.820491
32,47,377.218632
32,50,233.388594
32,51,181.756615
32,52,173.968007
32,53,181.794186
32,54,236.373150
32,57,414.347656
32,58,511.442106
32,60,252.081997
32,61,227.205253
32,62,242.245920
32,63,253.360481
32,64,310.962494
32,65,327.169019
32,66,398.291379
32,67,462.384713
32,71,306.634656
32,72,339.863356
32,73,320.270044
32,74,377.631705
32,76,452.524758
32,77,498.616912
32,78,593.616030
32,80,423.677862
32,81,370.602506
32,82,365.471891
32,83,398.162703
32,85,453.172677
32,86,523.261930
32,87,565.510016
32,88,631.526041
32,89,678.861597
32,92,458.537822
33,34,89.600874
33,36,230.103989
33,37,325.146207
33,38,405.602337
33,39,453.930456
33,40,197.827710
33,42,91.477971
33,44,124.614457
33,45,188.911749
33,46,285.798435
33,47,325.373217
33,50,260.194575
33,51,191.039061
33,52,160.398354
33,53,145.528494
33,54,188.708304
33,57,362.318301
33,58,459.421789
33,60,266.605845
33,61,230.087475
33,62,223.358169
33,63,225.815544
33,64,269.392179
33,65,281.491688
33,66,350.497638
33,67,412.208164
33,71,303.889493
33,72,323.018626
33,73,289.302602
33,74,340.504319
33,76,404.800626
33,77,450.309105
33,78,543.045889
33,80,423.075717
33,81,360.420365
33,82,346.490691
33,83,370.910909
33,85,413.741093
33,86,478.821626
33,87,519.747042
33,88,583.336604
33,89,629.048469
33,92,438.195488
34,36,142.633930
34,37,238.624819
34,38,318.176220
34,39,368.418518
34,40,287.394061
34,42,157.327608
34,44,94.966284
34,45,124.329366
34,46,213.710149
34,47,249.081138
34,50,345.213395
34,51,266.505364
34,52,215.684805
34,53,164.718502
34,54,162.444007
34,57,292.652601
34,58,389.013864
34,60,343.378754
34,61,297.882218
34,62,264.458311
34,63,251.700849
34,64,257.624635
34,65,254.846339
34,66,311.812965
34,67,359.825910
34,71,362.268959
34,72,361.021284
34,73,303.127119
34,74,336.921168
34,76,364.718079
34,77,406.614997
34,78,486.333404
34,80,480.687941
34,81,406.983482
34,82,379.977232
34,83,388.267279
34,85,401.112290
34,86,449.283903
34,87,484.834929
34,88,538.095285
34,89,575.788486
34,92,466.220926
36,37,96.144399
36,38,175.649467
36,39,226.191342
36,40,425.704325
36,42,276.200235
36,44,155.780510
36,45,94.699444
36,46,108.380995
36,47,126.199632
36,50,472.407885
36,51,383.430411
36,52,315.757210
36,53,239.787294
36,54,179.370298
36,57,180.109936
36,58,268.460568
36,60,458.274506
36,61,403.493287
36,62,341.387963
36,63,311.918973
36,64,263.285938
36,65,236.444198
36,66,259.676596
36,67,275.340668
36,71,451.391438
36,72,422.693870
36,73,338.173972
36,74,340.764073
36,76,302.714641
36,77,333.889105
36,78,385.572932
36,80,562.469874
36,81,476.886132
36,82,433.616695
36,83,417.786266
36,85,382.527287
36,86,397.903174
36,87,421.757063
36,88,454.627867
36,89,477.555252
36,92,505.236448
37,38,81.153374
37,39,130.092433
37,40,518.893140
37,42,363.679489
37,44,236.916028
37,45,162.430467
37,46,102.432147
37,47,81.286947
37,50,559.860837
37,51,467.414721
37,52,394.732407
37,53,313.961168
37,54,238.363872
37,57,132.841282
37,58,198.237894
37,60,539.974681
37,61,481.956431
37,62,409.043028
37,63,373.575782
37,64,301.175037
37,65,263.579452
37,66,258.271442
37,67,243.218585
37,71,520.606661
37,72,478.751554
37,73,384.882818
37,74,368.971359
37,76,287.423202
37,77,306.281052
37,78,329.013852
37,80,625.058477
37,81,535.290625
37,82,484.839167
37,83,456.081236
37,85,392.544066
37,86,382.769857
37,87,395.873162
37,88,410.253402
37,89,419.646890
37,92,545.135322
38,39,58.571169
38,40,599.961435
38,42,444.531973
38,44,317.178193
38,45,241.554929
38,46,166.377013
38,47,129.233462
38,50,640.526450
38,51,547.425830
38,52,473.625254
38,53,391.998349
38,54,313.028802
38,57,159.425609
38,58,183.335228
38,60,619.227453
38,61,560.359281
38,62,484.023275
38,63,446.580168
38,64,365.246574
38,65,323.930810
38,66,302.293701
38,67,265.066564
38,71,595.429118
38,72,548.041383
38,73,451.028953
38,74,425.749797
38,76,319.367446
38,77,326.882571
38,78,319.491448
38,80,696.359874
38,81,605.179040
38,82,551.692768
38,83,516.517628
38,85,437.365321
38,86,409.640028
38,87,413.257266
38,88,409.825523
38,89,404.491246
38,92,605.157892
39,40,645.337913
39,42,485.775844
39,44,357.140277
39,45,280.103052
39,46,192.951506
39,47,150.241224
39,50,680.193030
39,51,585.094930
39,52,508.898751
39,53,426.254862
39,54,343.311622
39,57,160.313358
39,58,150.882984
39,60,654.594687
39,61,594.094812
39,62,512.433734
39,63,472.625289
39,64,382.551168
39,65,338.756407
39,66,304.066827
39,67,252.036596
39,71,622.790552
39,72,568.420701
39,73,468.947777
39,74,434.834126
39,76,311.127393
39,77,310.058298
39,78,282.857312
39,80,718.238160
39,81,625.825744
39,82,569.224776
39,83,527.704270
39,85,435.858920
39,86,394.873484
39,87,391.661341
39,88,376.588748
39,89,362.663870
39,92,615.006260
40,42,167.406083
40,44,292.393166
40,45,368.513400
40,46,464.821467
40,47,507.403922
40,50,98.607671
40,51,124.711578
40,52,186.535743
40,53,250.942641
40,54,332.663773
40,57,534.894776
40,58,629.510533
40,60,150.111732
40,61,168.986811
40,62,244.292041
40,63,278.561823
40,64,373.766063
40,65,405.317743
40,66,481.995355
40,67,558.469421
40,71,245.091507
40,72,315.856903
40,73,344.449612
40,74,416.785757
40,76,533.154087
40,77,580.799237
40,78,689.432099
40,80,341.161287
40,81,321.862411
40,82,344.675134
40,83,400.568959
40,85,495.413046
40,86,583.817327
40,87,631.095189
40,88,709.014216
40,89,766.653814
40,92,432.756638
42,44,128.738701
42,45,205.878501
42,46,299.993061
42,47,343.220737
42,50,196.434737
42,51,109.712943
42,52,69.511606
42,53,88.270922
42,54,165.552845
42,57,368.038191
42,58,462.202545
42,60,186.470405
42,61,141.721901
42,62,135.891781
42,63,147.532285
42,64,218.689497
42,65,243.894374
42,66,319.596294
42,67,393.118797
42,71,212.710914
42,72,234.575270
42,73,215.504057
42,74,277.393513
42,76,372.374140
42,77,419.822379
42,78,524.727936
42,80,332.018576
42,81,269.454859
42,82,259.451508
42,83,291.642764
42,85,354.930931
42,86,432.945519
42,87,477.920731
42,88,550.716508
42,89,604.646051
42,92,352.270942
44,45,77.139826
44,46,172.428895
44,47,215.171886
44,50,323.552875
44,51,230.523255
44,52,160.081181
44,53,85.939789
44,54,69.390702
44,57,244.183878
44,58,340.415055
44,60,303.833954
44,61,247.851134
44,62,189.733570
44,63,167.245145
44,64,162.844348
44,65,163.713736
44,66,227.864000
44,67,287.597786
44,71,297.414909
44,72,279.372496
44,73,211.287861
44,74,241.955728
44,76,282.028477
44,77,326.741123
44,78,418.574551
44,80,411.398934
44,81,330.037809
44,82,295.115416
44,83,296.325436
44,85,307.051482
44,86,360.852675
44,87,399.346963
44,88,459.713640
44,89,504.448908
44,92,377.319938
45,46,97.508432
45,47,139.072965
45,50,400.226098
45,51,306.039718
45,52,232.331109
45,53,151.765985
45,54,84.671505
45,57,173.450517
45,58,270.579353
45,60,377.745666
45,61,319.533602
45,62,249.813465
45,63,218.157463
45,64,172.215120
45,65,152.066333
45,66,194.270694
45,67,235.761810
45,71,360.911661
45,72,328.271932
45,73,243.880249
45,74,251.860805
45,76,245.012804
45,77,284.678959
45,78,362.114664
45,80,469.612420
45,81,382.895581
45,82,338.918861
45,83,324.630211
45,85,302.022240
45,86,334.449561
45,87,366.210905
45,88,414.941141
45,89,451.460540
45,92,411.409140
46,47,43.718317
46,50,490.863400
46,51,394.414665
46,52,316.974549
46,53,234.164225
46,54,150.369322
46,57,79.097135
46,58,175.367839
46,60,462.366988
46,61,401.407501
46,62,319.942093
46,63,281.126545
46,64,200.248185
46,65,161.349826
46,66,160.842809
46,67,166.984672
46,71,430.813447
46,72,381.686509
46,73,285.290632
46,74,266.543172
46,76,197.962299
46,77,226.234754
46,78,280.362490
46,80,530.049911
46,81,438.803862
46,82,385.828000
46,83,354.194796
46,85,292.606012
46,86,294.083116
46,87,314.873299
46,88,346.412053
46,89,372.000983
46,92,443.237496
47,50,534.550516
47,51,438.132892
47,52,360.627032
47,53,277.812071
47,54,193.571415
47,57,56.136549
47,58,143.019450
47,60,505.936563
47,61,444.814278
47,62,362.192519
47,63,322.557798
47,64,236.399756
47,65,194.703227
47,66,178.830830
47,67,163.377324
47,71,472.631064
47,72,420.549621
47,73,322.491584
47,74,297.021511
47,76,206.140619
47,77,226.056286
47,78,261.125137
47,80,569.746289
47,81,477.871495
47,82,423.169252
47,83,387.338588
47,85,313.993303
47,86,301.529747
47,87,315.770105
47,88,335.882102
47,89,353.065847
47,92,476.059180
50,51,98.166130
50,52,178.128326
50,53,258.983897
50,54,345.409192
50,57,552.801375
50,58,642.493653
50,60,66.304393
50,61,115.619143
50,62,211.651524
50,63,254.036254
50,64,360.716564
50,65,399.512336
50,66,475.027575
50,67,556.739052
50,71,170.952026
50,72,255.714705
50,73,310.284492
50,74,385.387548
50,76,521.667476
50,77,568.496306
50,78,683.548217
50,80,249.893932
50,81,247.197812
50,82,283.660394
50,83,348.495006
50,85,461.157942
50,86,557.171398
50,87,606.102649
50,88,689.769668
50,89,753.277574
50,92,363.418014
51,52,79.967975
51,53,161.275094
51,54,247.628799
51,57,454.954903
51,58,544.334086
51,60,76.873884
51,61,49.664208
51,62,122.525883
51,63,161.343430
51,64,265.119807
51,65,302.506940
51,66,378.544762
51,67,459.530187
51,71,131.706883
51,72,192.119848
51,73,223.491780
51,74,297.577571
51,76,426.437386
51,77,473.644727
51,78,587.350296
51,80,243.935088
51,81,204.749285
51,82,220.864061
51,83,275.911424
51,85,375.418495
51,86,467.746243
51,87,516.063929
51,88,597.553710
51,89,659.170287
51,92,310.719625
52,53,82.815238
52,54,168.521782
52,57,375.522856
52,58,464.404868
52,60,145.780708
52,61,87.771189
52,62,69.454618
52,63,93.502307
52,64,188.732638
52,65,223.938459
52,66,300.430479
52,67,380.478055
52,71,146.888292
52,72,165.908693
52,73,161.680215
52,74,231.425768
52,76,349.650758
52,77,397.144384
52,78,509.231760
52,80,265.943414
52,81,200.062831
52,82,191.642185
52,83,230.040059
52,85,310.219451
52,86,397.281697
52,87,444.625902
52,88,523.500107
52,89,583.064253
52,92,284.825641
53,54,86.425906
53,57,293.819558
53,58,384.438817
53,60,228.344684
53,61,168.387061
53,62,103.963249
53,63,87.124361
53,64,131.243146
53,65,155.855833
53,66,231.975443
53,67,307.540866
53,71,211.828242
53,72,196.852852
53,73,144.772843
53,74,196.060787
53,76,284.357474
53,77,331.885099
53,78,438.549453
53,80,325.492238
53,81,245.355280
53,82,215.259145
53,83,228.315317
53,85,271.430257
53,86,345.472777
53,87,389.957852
53,88,462.486556
53,89,517.095871
53,92,302.367937
54,57,207.393733
54,58,298.629245
54,60,312.866097
54,61,251.325668
54,62,171.046254
54,63,135.559703
54,64,96.598173
54,65,94.464624
54,66,161.973701
54,67,229.076684
54,71,282.560167
54,72,244.085723
54,73,159.903894
54,74,177.264616
54,76,216.253449
54,77,262.249656
54,78,360.976823
54,80,387.464250
54,81,299.317885
54,82,254.255471
54,83,242.230573
54,85,238.680771
54,86,291.973844
54,87,331.474228
54,88,395.157588
54,89,443.760276
54,92,327.857752
57,58,97.132933
57,60,518.221870
57,61,455.626132
57,62,366.616400
57,63,324.249106
57,64,226.407189
57,65,181.458142
57,66,144.635845
57,67,110.899212
