12,109.131899
2,141.281430
22,142.590916
23,188.745664
12,42.035788
3,62.036209
0,91.457595
10,179.739525
11,184.850177
2,213.273406
2,26.924210
11,37.350252
0,52.625207
20,57.350659
12,90.939555
21,90.939611
23,188.459698
2,95.189546
3,100.189864
14,110.190094
13,128.330536
4,130.000357
5,130.190592
6,133.331248
24,145.190265
0,150.156462
10,150.189955
11,152.877754
12,152.877770
20,155.156749
7,158.331476
23,176.761513
32,195.190338
33,201.761799
41,201.762414
43,205.157632
34,206.761852
44,206.762082
25,208.331536
21,210.049364
30,210.190242
26,213.332695
31,215.156570
16,215.481331
40,220.157591
22,222.838277
15,228.330672
54,230.157860
42,230.190637
53,230.191555
50,231.763368
35,240.157913
45,241.763298
36,243.332910
52,245.191644
27,248.332879
37,248.334158
51,250.190816
61,250.190965
60,256.764724
46,260.191894
72,260.191940
56,265.192082
63,265.192782
82,265.193312
73,265.193352
83,265.193362
81,266.764030
47,266.764749
55,270.158140
80,271.765399
62,275.191796
71,275.192041
66,275.193335
75,275.193623
84,275.193634
70,276.764947
57,278.334378
65,280.158161
74,280.192030
64,285.159306
38,288.334468
93,290.193655
91,291.764933
90,291.764984
92,291.765068
76,295.194090
68,295.194148
94,295.195346
67,300.192397
95,300.193962
85,305.193642
77,305.195773
87,305.195963
58,310.192615
97,310.196204
39,313.334691
78,315.194400
96,315.195861
79,320.194453
86,320.195612
59,323.336431
88,325.196138
69,328.335101
48,331.764971
49,333.334713
89,335.196475
98,350.198189
99,365.198774
12,67.146700
11,112.164776
20,122.165062
21,123.414867
10,143.960027
30,151.100687
22,154.127063
2,166.923606
3,172.146887
14,181.101199
32,196.100920
24,197.147311
15,199.127093
31,201.100760
35,201.101707
26,201.101716
0,202.147337
5,202.165607
42,204.127460
52,209.127764
4,209.174052
16,211.101531
45,211.101850
43,212.165055
17,213.483815
7,213.483836
27,213.483912
36,213.483912
44,216.101843
13,216.228014
34,217.164999
6,218.483005
25,221.101499
53,226.101094
54,226.101167
51,231.100979
41,232.165559
40,232.818673
23,233.482860
50,233.960913
60,234.129012
