source_id,target_id,distance
0,1,59.866683
0,2,116.544022
0,3,192.784388
0,4,239.758926
0,5,284.782787
0,6,349.569816
0,7,428.852249
0,8,470.312167
0,9,540.558783
0,10,35.714417
0,11,73.368726
0,12,153.209153
0,13,188.758991
0,14,255.368635
0,15,303.914389
0,16,386.614434
0,17,426.494139
0,18,506.225543
0,19,542.253482
0,20,117.407454
0,21,112.898532
0,22,182.747282
0,23,217.132782
0,24,286.654983
0,25,322.289308
0,26,364.157319
0,27,451.816467
0,28,526.534523
0,29,550.007869
0,30,177.532443
0,31,185.690571
0,32,196.596751
0,33,272.220013
0,34,307.551415
0,35,336.106375
0,36,397.415356
0,37,483.865891
0,38,531.225105
0,39,583.628046
0,40,234.490180
0,41,257.327366
0,42,277.508419
0,43,302.001405
0,44,369.348118
0,45,408.429004
0,46,439.360223
0,47,512.804869
0,48,539.600523
0,49,622.530913
0,50,270.460555
0,51,291.565155
0,52,321.129838
0,53,344.933462
0,54,396.182549
0,55,430.519303
0,56,496.305778
0,57,527.369420
0,58,596.410652
0,59,639.181433
0,60,334.085858
0,61,354.649893
0,62,374.232124
0,63,404.813695
0,64,448.319994
0,65,499.328455
0,66,521.009639
0,67,572.851144
0,68,619.861215
0,69,657.015185
0,70,395.807383
0,71,406.133514
0,72,455.037850
0,73,475.109310
0,74,503.396496
0,75,538.409243
0,76,568.674989
0,77,630.582450
0,78,658.123347
0,79,716.104270
0,80,478.147141
0,81,476.770590
0,82,499.126057
0,83,532.620879
0,84,552.640349
0,85,596.968365
0,86,612.019920
0,87,661.215017
0,88,712.493285
0,89,761.336038
0,90,540.538042
0,91,532.697287
0,92,541.535485
0,93,574.334244
0,94,583.970838
0,95,638.250774
0,96,678.828894
0,97,719.194470
0,98,764.897235
0,99,782.891140
1,2,58.066711
1,3,134.429965
1,4,182.203648
1,5,228.328037
1,6,292.319798
1,7,373.309420
1,8,413.755266
1,9,483.610822
1,10,85.349765
1,11,61.555256
1,12,117.268491
1,13,138.791365
1,14,204.432190
1,15,253.620712
1,16,333.152188
1,17,373.605999
1,18,452.057132
1,19,489.067641
1,20,147.267050
1,21,113.811573
1,22,156.968468
1,23,178.318319
1,24,246.896216
1,25,278.481966
1,26,316.323661
1,27,401.645847
1,28,477.117514
1,29,499.565904
1,30,201.518540
1,31,191.355500
1,32,183.819952
1,33,247.593983
1,34,274.059486
1,35,298.122876
1,36,356.948324
1,37,441.156381
1,38,486.267155
1,39,536.173576
1,40,255.294556
1,41,261.105672
1,42,272.902431
1,43,287.956593
1,44,343.169811
1,45,377.297202
1,46,404.515798
1,47,473.413829
1,48,497.258684
1,49,578.019141
1,50,294.623563
1,51,300.825950
1,52,322.358252
1,53,328.993768
1,54,378.780882
1,55,406.183867
1,56,465.283015
1,57,491.405190
1,58,557.723289
1,59,599.763279
